term,definition,type,occurrences
mbobomkulite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mboziite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcallisterite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcalpineite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcauslanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcbirneyite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcconnellite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mccrillisite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcgillite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcgovernite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcguinnessite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mckelveyite (nd),,Semantic Web for Earth and Environment Technology Ontology.json,1
mckelveyite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
mckinstryite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mcnearite,,Semantic Web for Earth and Environment Technology Ontology.json,1
medaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
medenbachite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meerschaum,,Semantic Web for Earth and Environment Technology Ontology.json,1
megacyclite,,Semantic Web for Earth and Environment Technology Ontology.json,1
megakalsilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meionite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meixnerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melaconite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanocerite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
melanochalcite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanophlogite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanophlogite-alpha,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanophlogite-beta,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanostibite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanotekite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanothallite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanovanadite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melanterite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melinophane,,Semantic Web for Earth and Environment Technology Ontology.json,1
meliphanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melkovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melliniite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mellite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melnikovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
melonjosephite,,Semantic Web for Earth and Environment Technology Ontology.json,1
menaccanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mendeleyevite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mendipite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mendozavilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mendozite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meneghinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
menezesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mengxianminite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meniaylovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
menshikovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mercallite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mereheadite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mereiterite,,Semantic Web for Earth and Environment Technology Ontology.json,1
merenskyite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meridianiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
merlinoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
merrihueite,,Semantic Web for Earth and Environment Technology Ontology.json,1
merrillite,,Semantic Web for Earth and Environment Technology Ontology.json,1
merrillite (ca),,Semantic Web for Earth and Environment Technology Ontology.json,1
merrillite-fe,,Semantic Web for Earth and Environment Technology Ontology.json,1
merrillite (na),,Semantic Web for Earth and Environment Technology Ontology.json,1
merrillite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
mertieite-i,,Semantic Web for Earth and Environment Technology Ontology.json,1
mertieite-ii,,Semantic Web for Earth and Environment Technology Ontology.json,1
merwinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mesolite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mesotype,,Semantic Web for Earth and Environment Technology Ontology.json,1
messelite,,Semantic Web for Earth and Environment Technology Ontology.json,1
messing,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta autunite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-aluminite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-alunogen,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-ankoleite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-lodevite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-natrium-uranospinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-uranocircite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-uranopilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meta-uranospinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metaberyllite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metaborite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metacalciouranoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metacinnabar,,Semantic Web for Earth and Environment Technology Ontology.json,1
metadelrioite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metahaiweeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metaheinrichite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metahewettite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metahohmannite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metakahlerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metakirchheimerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metakoettigite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metakottigite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metalodevite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metamunirite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metanovacekite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metarauchite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metarossite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metaschoderite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metaschoepite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metasideronatrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metastibnite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metastrengite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metastudtite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metaswitzerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metatorbernite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metatyuyamunite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metauranocircite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metauranopilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metauranospinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavandendriesscheite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavanmeersscheite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavanuralite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavariscite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavauxite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavivianite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metavoltine,,Semantic Web for Earth and Environment Technology Ontology.json,1
metazellerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
metazeunerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
methane hydrate-h,,Semantic Web for Earth and Environment Technology Ontology.json,1
methane hydrate-i,,Semantic Web for Earth and Environment Technology Ontology.json,1
methane hydrate-ii,,Semantic Web for Earth and Environment Technology Ontology.json,1
meurigite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meurigite-k,,Semantic Web for Earth and Environment Technology Ontology.json,1
meurigite-na,,Semantic Web for Earth and Environment Technology Ontology.json,1
meyerhofferite,,Semantic Web for Earth and Environment Technology Ontology.json,1
meymacite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mg-zippeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mgriite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miargyrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miassite,,Semantic Web for Earth and Environment Technology Ontology.json,1
micaceous iron ore,,Semantic Web for Earth and Environment Technology Ontology.json,1
micheelsenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
michenerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
microcline,,Semantic Web for Earth and Environment Technology Ontology.json,1
microlite,,Semantic Web for Earth and Environment Technology Ontology.json,1
microsommite,,Semantic Web for Earth and Environment Technology Ontology.json,1
middendorfite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miersite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miessiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miharaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mikasaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
milarite,,Semantic Web for Earth and Environment Technology Ontology.json,1
millerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
millisite,,Semantic Web for Earth and Environment Technology Ontology.json,1
millosevichite,,Semantic Web for Earth and Environment Technology Ontology.json,1
milotaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mimetesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mimetite,,Semantic Web for Earth and Environment Technology Ontology.json,1
minamiite,,Semantic Web for Earth and Environment Technology Ontology.json,1
minasgeraisite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
minasragrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mineevite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
minehillite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mineraloid,"A mineraloid is a mineral-like substance that does not demonstrate crystallinity. Mineraloids possess chemical compositions that vary beyond the generally accepted ranges for specific minerals. For example, obsidian is an amorphous glass and not a crystal. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
minguzzite,,Semantic Web for Earth and Environment Technology Ontology.json,1
minium,,Semantic Web for Earth and Environment Technology Ontology.json,1
minnesotaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
minrecordite,,Semantic Web for Earth and Environment Technology Ontology.json,1
minyulite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mirabilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
misenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miserite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mispickel,,Semantic Web for Earth and Environment Technology Ontology.json,1
misy,,Semantic Web for Earth and Environment Technology Ontology.json,1
mitaxite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mitridatite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mitryaevaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mitscherlichite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mixite,,Semantic Web for Earth and Environment Technology Ontology.json,1
miyashiroite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mn-palygorskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mock lead ore,,Semantic Web for Earth and Environment Technology Ontology.json,1
moctezumite,,Semantic Web for Earth and Environment Technology Ontology.json,1
modderite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moeloite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moganite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mogovidite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mohite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mohrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mohrs salt,,Semantic Web for Earth and Environment Technology Ontology.json,1
moissanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moluranite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdic ochre,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdoferrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdofornacite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdomenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molybdophyllite,,Semantic Web for Earth and Environment Technology Ontology.json,1
molysite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monazite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
monazite (la),,Semantic Web for Earth and Environment Technology Ontology.json,1
monazite (nd),,Semantic Web for Earth and Environment Technology Ontology.json,1
monazite (sm),,Semantic Web for Earth and Environment Technology Ontology.json,1
moncheite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monetite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mongolite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mongshanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monimolite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monipite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monohydrocalcite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monrepite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monsmedite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montbrayite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montdorite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montebrasite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monteponite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monteregianite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monteregianite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
montesommaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montetrisaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montgomeryite,,Semantic Web for Earth and Environment Technology Ontology.json,1
monticellite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montmorillonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montmorillonite(ca),,Semantic Web for Earth and Environment Technology Ontology.json,1
montmorillonite(na),,Semantic Web for Earth and Environment Technology Ontology.json,1
montroseite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montroyalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
montroydite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mooihoekite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moolooite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mooreite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moorhouseite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mopungite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moraesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mordenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moreauite,,Semantic Web for Earth and Environment Technology Ontology.json,1
morelandite,,Semantic Web for Earth and Environment Technology Ontology.json,1
morenosite,,Semantic Web for Earth and Environment Technology Ontology.json,1
morganite,,Semantic Web for Earth and Environment Technology Ontology.json,1
morimotoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
morinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
morozeviczite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mosandrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moschelite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moschellandsbergite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mosesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moskvinite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
moss agate,,Semantic Web for Earth and Environment Technology Ontology.json,1
mottanaite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
mottramite,,Semantic Web for Earth and Environment Technology Ontology.json,1
motukoreaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mounanaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mountain leather,,Semantic Web for Earth and Environment Technology Ontology.json,1
mountainite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mountkeithite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mourite,,Semantic Web for Earth and Environment Technology Ontology.json,1
moydite (y),,Semantic Web for Earth and Environment Technology Ontology.json,1
mozartite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mozgovaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mpororoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mrazekite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mroseite,,Semantic Web for Earth and Environment Technology Ontology.json,1
muchuanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
muckeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mueckeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
muirite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mukhinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mullanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mullite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mummeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
munakataite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mundite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mundrabillaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
munirite,,Semantic Web for Earth and Environment Technology Ontology.json,1
murataite,,Semantic Web for Earth and Environment Technology Ontology.json,1
murate of sota,,Semantic Web for Earth and Environment Technology Ontology.json,1
murdochite,,Semantic Web for Earth and Environment Technology Ontology.json,1
murmanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
murunskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
muscovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
museumite,,Semantic Web for Earth and Environment Technology Ontology.json,1
musgravite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mushistonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
muskoxite,,Semantic Web for Earth and Environment Technology Ontology.json,1
muthmannite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mutinaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
mutnovskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
na-rectorite,,Semantic Web for Earth and Environment Technology Ontology.json,1
na-komarovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nabalamprophyllite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nabaphite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nabesite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nabiasite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nabokoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nacaphite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nacareniobsite (ce),,Semantic Web for Earth and Environment Technology Ontology.json,1
nacrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nadorite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nafertisite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nagashimalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nagelschmidtite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nagyagite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nahcolite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nahpoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nakalifite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nakauriite,,Semantic Web for Earth and Environment Technology Ontology.json,1
naldretteite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nalipoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nalivkinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
namansilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nambulite,,Semantic Web for Earth and Environment Technology Ontology.json,1
namibite,,Semantic Web for Earth and Environment Technology Ontology.json,1
namuwite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nanlingite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nanpingite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nantokite,,Semantic Web for Earth and Environment Technology Ontology.json,1
narsarsukite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nasinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nasledovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nasonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nastrophite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natalyite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natisite,,Semantic Web for Earth and Environment Technology Ontology.json,1
native alum,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natriumphlogopite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natro-alunite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroalunite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroapophyllite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrobetpakdalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrobistantite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroboltwoodite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrocalcite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrochalcite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrodufrenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrofairchildite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroglaucocerinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrojarosite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrokomarovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrolemoynite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrolite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natromontebrasite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natron,,Semantic Web for Earth and Environment Technology Ontology.json,1
natronambulite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroniobite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natropharmacosiderite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrophilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrophosphate,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrosilite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrotantite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrouranospinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroxalate,,Semantic Web for Earth and Environment Technology Ontology.json,1
natroxonotlite,,Semantic Web for Earth and Environment Technology Ontology.json,1
natrozippeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
naujakasite,,Semantic Web for Earth and Environment Technology Ontology.json,1
naumannite,,Semantic Web for Earth and Environment Technology Ontology.json,1
navajoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nchwaningite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nealite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nealite (h2o),,Semantic Web for Earth and Environment Technology Ontology.json,1
nechelyustovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
needle ironstone,,Semantic Web for Earth and Environment Technology Ontology.json,1
nefedovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neighborite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nekoite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nekrasovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nelenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neltnerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nemalite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nenadkevichite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nenadkevite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neocolmanite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neodymite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neotocite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nepheline,,Semantic Web for Earth and Environment Technology Ontology.json,1
nephelite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nephrite jade,,Semantic Web for Earth and Environment Technology Ontology.json,1
nepouite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nepskoeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neptunite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neskevaaraite-fe,,Semantic Web for Earth and Environment Technology Ontology.json,1
nesquehonite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neustadtelite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nevadaite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nevskite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nevyanakite,,Semantic Web for Earth and Environment Technology Ontology.json,1
newberyite,,Semantic Web for Earth and Environment Technology Ontology.json,1
neyite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nezilovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niahite,,Semantic Web for Earth and Environment Technology Ontology.json,1
niccolite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nichromite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickel,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickel-boussingaultite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickel-skutterudite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickel-zippeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelalumite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelaustinite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelbischofite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelblodite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelbloedite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelboussingaultite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelhexahydrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelian pyrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickeline,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickellinnaeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickellotharmeyerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelphosphide,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelschneebergite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelskutterudite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickeltalmessite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickelzippeite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nickenichite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nicols,,Semantic Web for Earth and Environment Technology Ontology.json,1
nicolsonite (zn),,Semantic Web for Earth and Environment Technology Ontology.json,1
niedermayrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nielsbohrite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nielsenite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nierite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nifontovite,,Semantic Web for Earth and Environment Technology Ontology.json,1
nigerite,,Semantic Web for Earth and Environment Technology Ontology.json,1
