uri,label
http://astrothesaurus.org/uat/2084,Line intensities
http://astrothesaurus.org/uat/1953,Irregular cadence
http://astrothesaurus.org/uat/1250,Planetary nebulae nuclei
http://astrothesaurus.org/uat/1752,Urca process
http://astrothesaurus.org/uat/122,Automatic patrol telescopes
http://astrothesaurus.org/uat/1808,Wormholes
http://astrothesaurus.org/uat/1166,Optical flares
http://astrothesaurus.org/uat/479,Event horizons
http://astrothesaurus.org/uat/1437,Seasonal phenomena
http://astrothesaurus.org/uat/1262,Plasma clouds
http://astrothesaurus.org/uat/1390,Relativistic jets
http://astrothesaurus.org/uat/51,Apastron
http://astrothesaurus.org/uat/2209,Asteroid surfaces
http://astrothesaurus.org/uat/932,Long baseline interferometry
http://astrothesaurus.org/uat/555,Fundamental parameters of stars
http://astrothesaurus.org/uat/2104,B(e) stars
http://astrothesaurus.org/uat/1789,Warm neutral medium
http://astrothesaurus.org/uat/1989,Solar coronal heating
http://astrothesaurus.org/uat/1813,X-ray bursters
http://astrothesaurus.org/uat/1246,Planetary bow shocks
http://astrothesaurus.org/uat/1397,RGB photometry
http://astrothesaurus.org/uat/83,Astronomy databases
http://astrothesaurus.org/uat/578,Galaxy bulges
http://astrothesaurus.org/uat/139,Baryon density
http://astrothesaurus.org/uat/1023,Megamasers
http://astrothesaurus.org/uat/557,G giant stars
http://astrothesaurus.org/uat/76,Astrodynamics
http://astrothesaurus.org/uat/793,Infrared sources
http://astrothesaurus.org/uat/756,HST photometry
http://astrothesaurus.org/uat/1424,Saros cycle
http://astrothesaurus.org/uat/1675,Symbiotic novae
http://astrothesaurus.org/uat/180,Bright nebulae
http://astrothesaurus.org/uat/1969,GPU computing
http://astrothesaurus.org/uat/250,Classical Kuiper belt objects
http://astrothesaurus.org/uat/1672,SX Arietis variable stars
http://astrothesaurus.org/uat/954,Lunar geochronology
http://astrothesaurus.org/uat/559,G subdwarf stars
http://astrothesaurus.org/uat/515,Stellar F corona
http://astrothesaurus.org/uat/666,Gravitational equilibrium
http://astrothesaurus.org/uat/1730,Type Ic supernovae
http://astrothesaurus.org/uat/543,Flat space
http://astrothesaurus.org/uat/639,Gaseous nebulae
http://astrothesaurus.org/uat/227,Chlorofluorocarbons
http://astrothesaurus.org/uat/1143,Oblateness
http://astrothesaurus.org/uat/182,Brightness temperature
http://astrothesaurus.org/uat/1446,Semiminor axis
http://astrothesaurus.org/uat/632,Gamma-ray observatories
http://astrothesaurus.org/uat/819,Internal waves
http://astrothesaurus.org/uat/217,Cepheid distance
