subject_id,predicate_id,object_id,mapping_justification,confidence,term
Space Weather Glossary:aurora,skos:exactMatch,Space Weather Glossary (Second):aurora,lexical_identity_same_normalized_term,0.6,aurora
AGU Index Terms:aurorae,skos:exactMatch,GCMD:aurorae,lexical_identity_same_normalized_term,0.6,aurorae
HELIO Ontology:auroral region,skos:exactMatch,NASA CCMC:auroral region,lexical_identity_same_normalized_term,0.6,auroral region
HELIO Ontology:auroral region,skos:exactMatch,SPASE Dictionary:auroral region,lexical_identity_same_normalized_term,0.6,auroral region
NASA CCMC:auroral region,skos:exactMatch,SPASE Dictionary:auroral region,lexical_identity_same_normalized_term,0.6,auroral region
GCMD:avalanche,skos:exactMatch,GEMET:avalanche,lexical_identity_same_normalized_term,0.6,avalanche
HELIO Ontology:average charge state,skos:exactMatch,SPASE Dictionary:average charge state,lexical_identity_same_normalized_term,0.6,average charge state
HELIO Ontology:azimuth angle,skos:exactMatch,SPASE Dictionary:azimuth angle,lexical_identity_same_normalized_term,0.6,azimuth angle
GCMD:barium,skos:exactMatch,GEMET:barium,lexical_identity_same_normalized_term,0.6,barium
GCMD:barrier reef,skos:exactMatch,GEMET:barrier reef,lexical_identity_same_normalized_term,0.6,barrier reef
Space Weather Glossary:bartels’ rotation number,skos:exactMatch,Space Weather Glossary (Second):bartels’ rotation number,lexical_identity_same_normalized_term,0.6,bartels’ rotation number
AGU Index Terms:biodiversity,skos:exactMatch,GEMET:biodiversity,lexical_identity_same_normalized_term,0.6,biodiversity
AGU Index Terms:biogeochemistry,skos:exactMatch,GEMET:biogeochemistry,lexical_identity_same_normalized_term,0.6,biogeochemistry
GCMD:bioluminescence,skos:exactMatch,GEMET:bioluminescence,lexical_identity_same_normalized_term,0.6,bioluminescence
GCMD:biomarker,skos:exactMatch,GEMET:biomarker,lexical_identity_same_normalized_term,0.6,biomarker
GCMD:biomass,skos:exactMatch,GEMET:biomass,lexical_identity_same_normalized_term,0.6,biomass
GCMD:biomass burning,skos:exactMatch,GEMET:biomass burning,lexical_identity_same_normalized_term,0.6,biomass burning
GCMD:biosphere,skos:exactMatch,GEMET:biosphere,lexical_identity_same_normalized_term,0.6,biosphere
HELIO Ontology:bow shock,skos:exactMatch,SWEET:bow shock,lexical_identity_same_normalized_term,0.6,bow shock
HELIO Ontology:bow shock,skos:exactMatch,Space Weather Glossary:bow shock,lexical_identity_same_normalized_term,0.6,bow shock
HELIO Ontology:bow shock,skos:exactMatch,Space Weather Glossary (Second):bow shock,lexical_identity_same_normalized_term,0.6,bow shock
SWEET:bow shock,skos:exactMatch,Space Weather Glossary:bow shock,lexical_identity_same_normalized_term,0.6,bow shock
SWEET:bow shock,skos:exactMatch,Space Weather Glossary (Second):bow shock,lexical_identity_same_normalized_term,0.6,bow shock
Space Weather Glossary:bow shock,skos:exactMatch,Space Weather Glossary (Second):bow shock,lexical_identity_same_normalized_term,0.6,bow shock
HELIO Ontology:bow shock crossing,skos:exactMatch,SPASE Dictionary:bow shock crossing,lexical_identity_same_normalized_term,0.6,bow shock crossing
HELIO Ontology:bow shock crossing,skos:exactMatch,SWEET:bow shock crossing,lexical_identity_same_normalized_term,0.6,bow shock crossing
SPASE Dictionary:bow shock crossing,skos:exactMatch,SWEET:bow shock crossing,lexical_identity_same_normalized_term,0.6,bow shock crossing
GCMD:brightness temperature,skos:exactMatch,Space Weather Glossary:brightness temperature,lexical_identity_same_normalized_term,0.6,brightness temperature
Space Weather Glossary:burst,skos:exactMatch,Space Weather Glossary (Second):burst,lexical_identity_same_normalized_term,0.6,burst
HELIO Ontology:cadence,skos:exactMatch,NASA CCMC:cadence,lexical_identity_same_normalized_term,0.6,cadence
